Airport,long_num,lat_num
ABQ,-106.6083333,35.03888889
ALB,-73.80194444,42.74916667
AMA,-101.7058333,35.21944444
ATL,-84.42777778,33.63666667
AUS,-97.67,30.19444444
BDL,-72.68333333,41.93916667
BHM,-86.75222222,33.56388889
BNA,-86.67805556,36.12444444
BOI,-116.2227778,43.56444444
BOS,-71.00638889,42.36305556
BUF,-78.73055556,42.94055556
BUR,-118.3586111,34.20055556
BWI,-76.66888889,39.17583333
BZN,-111.1505556,45.77722222
CHS,-80.04055556,32.89861111
CLE,-81.85472222,41.40944444
CLT,-80.94916667,35.21361111
CMH,-82.89222222,39.99694444
COS,-104.7008333,38.80583333
CRP,-97.5025,27.77222222
CVG,-84.66777778,39.04888889
DAL,-96.85083333,32.84583333
DCA,-77.03777778,38.85138889
DEN,-104.6730556,39.86166667
DFW,-97.03777778,32.89722222
DSM,-93.66305556,41.53388889
DTW,-83.35333333,42.2125
ECP,-85.79555556,30.35833333
ELP,-106.3763889,31.80722222
EWR,-74.16861111,40.6925
FAT,-119.7188889,36.77666667
FLL,-80.14972222,26.07166667
GEG,-117.5352778,47.61916667
GRR,-85.52277778,42.88083333
GSP,-82.21888889,34.89555556
HNL,-157.9202778,21.31777778
HOU,-95.27888889,29.64555556
HRL,-97.65527778,26.22722222
IAD,-77.46,38.9475
IAH,-95.34138889,29.98444444
ICT,-97.43305556,37.65
IND,-86.29472222,39.71722222
ISP,-73.10055556,40.79611111
JAX,-81.68777778,30.49416667
JFK,-73.77861111,40.64
LAS,-115.1522222,36.08
LAX,-118.4080556,33.9425
LBB,-101.8205556,33.66361111
LGA,-73.8725,40.77722222
LIT,-92.22472222,34.72944444
MAF,-102.2019444,31.9425
MCI,-94.71388889,39.2975
MCO,-81.30888889,28.42944444
MDW,-87.7525,41.78583333
MEM,-89.97666667,35.0425
MFR,-122.8736111,42.37416667
MHT,-71.43583333,42.93277778
MIA,-80.29,25.79527778
MKE,-87.89694444,42.94694444
MSN,-89.3375,43.14
MSP,-93.22166667,44.88194444
MSY,-90.25916667,29.99333333
OAK,-122.2211111,37.72111111
OGG,-156.4305556,20.89861111
OKC,-97.60083333,35.39305556
OMA,-95.89416667,41.30305556
ONT,-117.6011111,34.05611111
ORD,-87.90666667,41.97444444
ORF,-76.20111111,36.89472222
PBI,-80.09555556,26.68305556
PDX,-122.5969444,45.58861111
PHL,-75.24055556,39.87194444
PHX,-112.0116667,33.43416667
PIT,-80.23277778,40.49138889
PNS,-87.18666667,30.47333333
PVD,-71.42777778,41.72222222
PWM,-70.30861111,43.64555556
RDU,-78.7875,35.87777778
RIC,-77.31972222,37.50527778
RNO,-119.7680556,39.49916667
ROC,-77.67194444,43.11916667
RSW,-81.75527778,26.53611111
SAN,-117.1897222,32.73361111
SAT,-98.46916667,29.53388889
SAV,-81.20222222,32.1275
SDF,-85.73638889,38.17416667
SEA,-122.3116667,47.45
SFO,-122.3755556,37.61888889
SJC,-121.9286111,37.36305556
SLC,-111.9777778,40.78833333
SMF,-121.5908333,38.69555556
SNA,-117.8683333,33.67555556
STL,-90.37,38.74861111
TPA,-82.53333333,27.97555556
TUL,-95.88805556,36.19833333
TUS,-110.9411111,32.11611111
